factor,base_factor,is_contrarian,n,target_index,horizon_days,ic_spearman,ic_pearson,auc_hit_up,p_up_top20,p_up_bottom20,delta_p_up,p_up_all,score,tag
f01,f01,0,976,kospi_close,5,0.03960727700841975,0.08417963899016222,0.48919013069899664,0.5527638190954773,0.5583756345177665,-0.005611815422289168,0.576844262295082,0.03960727700841975,1Y
f02,f02,0,976,kospi_close,5,0.012363233231238615,0.005468957650954145,0.5248796872513644,0.6020408163265306,0.5778894472361809,0.02415136909034976,0.576844262295082,0.024438917776413493,1Y
f03_c,f03,1,976,kospi_close,5,0.026392442049020436,-0.009315251428812621,0.5081498716233942,0.6377551020408163,0.5918367346938775,0.04591836734693877,0.576844262295082,0.04935162572248982,1Y
f04,f04,0,976,kospi_close,5,0.06175116093502619,0.06378197911056016,0.5421556948034354,0.6565656565656566,0.5174129353233831,0.1391527212422735,0.576844262295082,0.13132752155616295,1Y
f05_c,f05,1,976,kospi_close,5,0.07027225667346743,0.09249875489719114,0.5420094701938336,0.5714285714285714,0.5173913043478261,0.0540372670807453,0.576844262295082,0.09729089021384008,1Y
f06_c,f06,1,976,kospi_close,5,0.17125752158743954,0.13537928584225914,0.5640592811770221,0.655,0.5102040816326531,0.14479591836734695,0.576844262295082,0.24365548077111301,1Y
f07,f07,0,976,kospi_close,5,0.06048879996386813,0.062123994264750564,0.5352680856188097,0.7091836734693877,0.59,0.11918367346938774,0.576844262295082,0.120080636698562,1Y
f08,f08,0,976,kospi_close,5,0.026169268867103895,0.030125108768939063,0.5171770909043992,0.6262626262626263,0.5376884422110553,0.08857418405157103,0.576844262295082,0.07045636089288941,1Y
f09_c,f09,1,976,kospi_close,5,0.1736354637772521,0.18910011411741923,0.5661967409114954,0.6345177664974619,0.494949494949495,0.13956827154796697,0.576844262295082,0.2434195995512356,1Y
f10_c,f10,1,976,kospi_close,5,0.020724924001256542,0.003521051016471366,0.5254387813469007,0.6130653266331658,0.5663265306122449,0.0467387960209209,0.576844262295082,0.044094322011716994,1Y
