factor,base_factor,is_contrarian,n,target_index,horizon_days,ic_spearman,ic_pearson,auc_hit_up,p_up_top20,p_up_bottom20,delta_p_up,p_up_all,score,tag
f01,f01,0,961,kospi_close,20,0.03617184660711712,0.09707085889434032,0.49801089241522456,0.49230769230769234,0.5989847715736041,-0.10667707926591175,0.5764828303850156,0.03617184660711712,1Y
f02,f02,0,961,kospi_close,20,0.0026807272503921744,-0.003791638255136829,0.5024747425469447,0.5670103092783505,0.558974358974359,0.008035950303991513,0.5764828303850156,0.006698702402387931,1Y
f03_c,f03,1,961,kospi_close,20,0.0035186225007753443,-0.04631479020890755,0.5231330772847018,0.5906735751295337,0.5257731958762887,0.06490037925324499,0.5764828303850156,0.03596881212739784,1Y
f04_c,f04,1,961,kospi_close,20,0.014360842115613677,-0.003582583681894809,0.5227915805533134,0.6269430051813472,0.5803108808290155,0.04663212435233166,0.5764828303850156,0.03767690429177951,1Y
f05_c,f05,1,961,kospi_close,20,0.13662435784730442,0.17827889155980253,0.5619616991458146,0.5510204081632653,0.5217391304347826,0.029281277728482658,0.5764828303850156,0.15126499671154575,1Y
f06_c,f06,1,961,kospi_close,20,0.1668016797103104,0.16867178931956517,0.5706543432175201,0.6395939086294417,0.49740932642487046,0.1421845822045712,0.5764828303850156,0.237893970812596,1Y
f07,f07,0,961,kospi_close,20,0.0014555332461439906,-0.019453237027862117,0.5197425025944882,0.5824742268041238,0.5948717948717949,-0.012397568067671116,0.5764828303850156,0.0014555332461439906,1Y
f08,f08,0,961,kospi_close,20,0.040341563630679624,0.04943540227628831,0.5073732248822501,0.5876288659793815,0.5699481865284974,0.01768067945088403,0.5764828303850156,0.04918190335612164,1Y
f09_c,f09,1,961,kospi_close,20,0.19710607557459747,0.1870119814819705,0.6093876120951933,0.7046632124352331,0.5129533678756477,0.1917098445595854,0.5764828303850156,0.29296099785439017,1Y
f10,f10,0,961,kospi_close,20,0.022487151322569735,0.07132338953367368,0.5031266908523226,0.5538461538461539,0.5670103092783505,-0.013164155432196623,0.5764828303850156,0.022487151322569735,1Y
